rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
128,clap_630k_chunk_meanmax,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,80.35,0.52,81.88,0.44,89.84,76.44
129,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,80.35,0.38,81.32,0.29,90.08,76.31
130,m2d_clap_vit_base_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.35,0.42,82.17,0.25,86.08,76.33
131,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.34,0.36,81.82,0.45,90.06,76.25
132,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,80.34,0.9,81.82,0.44,90.12,76.21
133,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,80.34,0.59,81.71,0.57,89.94,76.33
134,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.33,0.35,81.73,0.3,90.15,76.48
135,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.33,0.91,81.84,0.59,86.29,76.51
136,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,80.32,0.65,81.66,0.37,90.16,76.53
137,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,80.32,0.44,81.67,0.24,90.34,75.96
138,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,80.32,0.49,81.67,0.29,89.98,76.26
139,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,80.32,0.35,81.82,0.17,90.16,76.39
140,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.32,0.98,81.63,0.84,90.03,76.42
141,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.32,0.48,81.62,0.46,90.11,76.44
142,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.32,0.9,81.88,0.6,90.16,76.3
143,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.31,0.5,81.31,0.22,90.06,76.02
144,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,80.31,0.63,81.64,0.65,89.94,76.44
145,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,80.31,1.18,81.56,0.66,90.08,76.16
146,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,80.3,0.33,81.52,0.26,90.24,76.12
147,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,80.3,0.28,81.77,0.32,89.89,76.52
148,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.29,0.8,81.51,0.33,90.18,76.37
149,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.29,0.39,81.47,0.41,89.74,76.42
150,clap_630k_chunk_meanmax,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,80.28,0.5,81.69,0.35,89.84,76.09
151,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,80.28,0.78,81.51,0.64,90.16,75.76
